족보,강화레벨,다음강화비용,공격력배율,예상합성초당피해량(DPS),공격특성
하이,0,40,1.000,29.89,단일 공격
하이,1,51,1.180,35.27,단일 공격
하이,2,64,1.392,41.62,단일 공격
하이,3,81,1.643,49.11,단일 공격
하이,4,101,1.939,57.95,단일 공격
하이,5,128,2.288,68.38,단일 공격
하이,6,161,2.700,80.69,단일 공격
하이,7,202,3.185,95.22,단일 공격
하이,8,255,3.759,112.36,단일 공격
하이,9,321,4.435,132.58,단일 공격
하이,10,404,5.234,156.44,단일 공격
하이,11,509,6.176,184.60,단일 공격
하이,12,641,7.288,217.83,단일 공격
하이,13,808,8.599,257.04,단일 공격
하이,14,1017,10.147,303.31,단일 공격
하이,15,1282,11.974,357.91,단일 공격
하이,16,1615,14.129,422.33,단일 공격
하이,17,2035,16.672,498.35,단일 공격
하이,18,2563,19.673,588.05,단일 공격
하이,19,3230,23.214,693.90,단일 공격
하이,20,4069,27.393,818.80,단일 공격
하이,21,5127,32.324,966.19,단일 공격
하이,22,6460,38.142,1140.10,단일 공격
하이,23,8140,45.008,1345.32,단일 공격
하이,24,10256,53.109,1587.48,단일 공격
하이,25,12922,62.669,1873.23,단일 공격
하이,26,16282,73.949,2210.41,단일 공격
하이,27,20515,87.260,2608.28,단일 공격
하이,28,25849,102.967,3077.77,단일 공격
하이,29,32570,121.501,3631.77,단일 공격
하이,30,41038,143.371,4285.49,단일 공격
원페어,0,54,1.600,116.36,속사
원페어,1,69,1.888,137.31,속사
원페어,2,86,2.228,162.02,속사
원페어,3,109,2.629,191.19,속사
원페어,4,137,3.102,225.60,속사
원페어,5,172,3.660,266.21,속사
원페어,6,217,4.319,314.13,속사
원페어,7,273,5.097,370.67,속사
원페어,8,344,6.014,437.39,속사
원페어,9,433,7.097,516.13,속사
원페어,10,545,8.374,609.03,속사
원페어,11,687,9.881,718.65,속사
원페어,12,865,11.660,848.01,속사
원페어,13,1090,13.759,1000.65,속사
원페어,14,1373,16.236,1180.77,속사
원페어,15,1730,19.158,1393.31,속사
원페어,16,2180,22.606,1644.11,속사
원페어,17,2746,26.676,1940.05,속사
원페어,18,3460,31.477,2289.25,속사
원페어,19,4360,37.143,2701.32,속사
원페어,20,5493,43.829,3187.56,속사
원페어,21,6922,51.718,3761.32,속사
원페어,22,8721,61.027,4438.35,속사
원페어,23,10988,72.012,5237.26,속사
원페어,24,13845,84.975,6179.97,속사
원페어,25,17445,100.270,7292.36,속사
원페어,26,21981,118.319,8604.98,속사
원페어,27,27695,139.616,10153.88,속사
원페어,28,34896,164.747,11981.58,속사
원페어,29,43969,194.401,14138.27,속사
원페어,30,55401,229.393,16683.16,속사
투페어,0,68,2.300,218.29,장거리
투페어,1,86,2.714,257.58,장거리
투페어,2,108,3.203,303.95,장거리
투페어,3,137,3.779,358.66,장거리
투페어,4,172,4.459,423.22,장거리
투페어,5,216,5.262,499.40,장거리
투페어,6,273,6.209,589.29,장거리
투페어,7,343,7.327,695.36,장거리
투페어,8,432,8.645,820.53,장거리
투페어,9,545,10.202,968.22,장거리
투페어,10,686,12.038,1142.50,장거리
투페어,11,865,14.205,1348.15,장거리
투페어,12,1089,16.761,1590.82,장거리
투페어,13,1372,19.779,1877.16,장거리
투페어,14,1729,23.339,2215.05,장거리
투페어,15,2179,27.540,2613.76,장거리
투페어,16,2745,32.497,3084.24,장거리
투페어,17,3458,38.346,3639.40,장거리
투페어,18,4357,45.249,4294.50,장거리
투페어,19,5490,53.393,5067.51,장거리
투페어,20,6918,63.004,5979.66,장거리
투페어,21,8716,74.345,7056.00,장거리
투페어,22,10982,87.727,8326.08,장거리
투페어,23,13837,103.518,9824.77,장거리
투페어,24,17435,122.151,11593.23,장거리
투페어,25,21968,144.138,13680.01,장거리
투페어,26,27679,170.083,16142.41,장거리
투페어,27,34875,200.698,19048.05,장거리
투페어,28,43943,236.824,22476.70,장거리
투페어,29,55368,279.452,26522.50,장거리
투페어,30,69764,329.753,31296.56,장거리
트리플,0,82,3.200,238.43,탱커·보스 추가 피해
트리플,1,104,3.776,281.35,탱커·보스 추가 피해
트리플,2,131,4.456,331.99,탱커·보스 추가 피해
트리플,3,165,5.258,391.75,탱커·보스 추가 피해
트리플,4,207,6.204,462.26,탱커·보스 추가 피해
트리플,5,261,7.321,545.47,탱커·보스 추가 피해
트리플,6,329,8.639,643.65,탱커·보스 추가 피해
트리플,7,414,10.194,759.51,탱커·보스 추가 피해
트리플,8,521,12.028,896.22,탱커·보스 추가 피해
트리플,9,657,14.193,1057.54,탱커·보스 추가 피해
트리플,10,828,16.748,1247.90,탱커·보스 추가 피해
트리플,11,1043,19.763,1472.52,탱커·보스 추가 피해
트리플,12,1313,23.320,1737.58,탱커·보스 추가 피해
트리플,13,1655,27.518,2050.34,탱커·보스 추가 피해
트리플,14,2085,32.471,2419.40,탱커·보스 추가 피해
트리플,15,2627,38.316,2854.89,탱커·보스 추가 피해
