라운드,몬스터수,소환간격(초),웨이브소환시간(초),기본몬스터개별체력,특수포함총체력,획득가능골드,요구초당피해량(DPS),보스체력,보스보상골드,누적골드,누적골드기준소환횟수,A기준하이합성DPS,A원페어합성DPS,A로열합성DPS,요구하이타워수,요구원페어타워수,요구로열타워수
1,6,0.650,3.90,20.00,120.00,30,6.00,0.00,0,180,7.20,29.89,116.36,26298.70,1,1,1
2,7,0.650,4.55,21.80,152.60,42,7.63,0.00,0,222,8.88,29.89,116.36,26298.70,1,1,1
3,8,0.650,5.20,23.76,181.78,50,9.09,0.00,0,272,10.88,29.89,116.36,26298.70,1,1,1
4,9,0.650,5.85,25.90,224.04,65,11.20,0.00,0,337,13.48,29.89,116.36,26298.70,1,1,1
5,10,0.650,6.50,28.23,299.26,81,14.96,0.00,0,418,16.72,29.89,116.36,26298.70,1,1,1
6,11,0.650,7.15,30.77,363.12,102,18.16,0.00,0,520,20.80,29.89,116.36,26298.70,1,1,1
7,12,0.650,7.80,33.54,429.34,124,21.47,0.00,0,644,25.76,29.89,116.36,26298.70,1,1,1
8,13,0.650,8.45,36.56,504.54,132,25.23,0.00,0,776,31.04,29.89,116.36,26298.70,1,1,1
9,14,0.650,9.10,39.85,641.61,166,32.08,0.00,0,942,37.68,29.89,116.36,26298.70,2,1,1
10,15,0.650,9.75,43.44,1118.53,258,55.93,434.38,90,1200,48.00,29.89,116.36,26298.70,2,1,1
11,16,0.650,10.40,54.45,966.48,206,48.32,0.00,0,1406,56.24,29.89,116.36,26298.70,2,1,1
12,17,0.650,11.05,59.35,1112.81,216,55.64,0.00,0,1622,64.88,29.89,116.36,26298.70,2,1,1
13,18,0.650,11.70,64.69,1277.65,251,63.88,0.00,0,1873,74.92,29.89,116.36,26298.70,3,1,1
14,19,0.650,12.35,70.51,1463.16,285,73.16,0.00,0,2158,86.32,29.89,116.36,26298.70,3,1,1
15,20,0.650,13.00,76.86,1644.80,324,82.24,0.00,0,2482,99.28,29.89,116.36,26298.70,3,1,1
16,21,0.650,13.65,83.78,1985.52,350,99.28,0.00,0,2832,113.28,29.89,116.36,26298.70,4,1,1
17,22,0.650,14.30,91.32,2273.80,418,113.69,0.00,0,3250,130.00,29.89,116.36,26298.70,4,1,1
18,23,0.650,14.95,99.54,2577.97,462,128.90,0.00,0,3712,148.48,29.89,116.36,26298.70,5,2,1
19,24,0.650,15.60,108.49,2918.48,512,145.92,0.00,0,4224,168.96,29.89,116.36,26298.70,5,2,1
20,25,0.650,16.25,118.26,4322.34,717,216.12,1182.58,170,4941,197.64,29.89,116.36,26298.70,8,2,1
21,26,0.650,16.90,145.71,4160.16,614,208.01,0.00,0,5555,222.20,29.89,116.36,26298.70,7,2,1
22,27,0.630,17.00,158.83,4693.40,666,234.67,0.00,0,6221,248.84,29.89,116.36,26298.70,8,3,1
23,28,0.607,17.00,173.12,5513.99,740,275.70,0.00,0,6961,278.44,29.89,116.36,26298.70,10,3,1
24,29,0.586,17.00,188.70,6198.96,839,309.95,0.00,0,7800,312.00,29.89,116.36,26298.70,11,3,1
25,30,0.567,17.00,205.69,6890.56,904,344.53,0.00,0,8704,348.16,29.89,116.36,26298.70,12,3,1
26,31,0.548,17.00,224.20,7734.91,1011,386.75,0.00,0,9715,388.60,29.89,116.36,26298.70,13,4,1
27,32,0.531,17.00,244.38,8675.43,1076,433.77,0.00,0,10791,431.64,29.89,116.36,26298.70,15,4,1
28,33,0.515,17.00,266.37,9775.87,1240,488.79,0.00,0,12031,481.24,29.89,116.36,26298.70,17,5,1
29,34,0.500,17.00,290.35,10946.04,1356,547.30,0.00,0,13387,535.48,29.89,116.36,26298.70,19,5,1
30,35,0.486,17.00,316.48,15507.37,1802,775.37,3164.77,320,15189,607.56,29.89,116.36,26298.70,26,7,1
31,36,0.472,17.00,384.76,15775.28,1640,788.76,0.00,0,16829,673.16,29.89,116.36,26298.70,27,7,1
32,37,0.459,17.00,419.39,17614.45,1776,880.72,0.00,0,18605,744.20,29.89,116.36,26298.70,30,8,1
