라운드,몬스터수,소환간격(초),웨이브소환시간(초),기본몬스터개별체력,특수포함총체력,획득가능골드,요구초당피해량(DPS),보스체력,보스보상골드,누적골드,누적골드기준소환횟수,A기준하이합성DPS,A원페어합성DPS,A로열합성DPS,요구하이타워수,요구원페어타워수,요구로열타워수,12카드상태소환비용,예산기반원페어강화레벨,예상원페어필드DPS,DPS충족률,경제압력
1,6,0.650,3.90,20.00,120.00,30,6.00,0.00,0,180,7.20,29.89,116.36,26298.70,1,1,1,43,0,698.18,116.3636,0.2000
2,7,0.650,4.55,21.80,152.60,42,7.63,0.00,0,222,8.88,29.89,116.36,26298.70,1,1,1,43,0,814.55,106.7556,0.1817
3,8,0.650,5.20,23.76,181.78,50,9.09,0.00,0,272,10.88,29.89,116.36,26298.70,1,1,1,43,0,930.91,102.4219,0.1818
4,9,0.650,5.85,25.90,224.04,56,11.20,0.00,0,328,13.12,29.89,116.36,26298.70,1,1,1,43,0,1163.64,103.8775,0.2000
5,10,0.650,6.50,28.23,299.26,70,14.96,0.00,0,398,15.92,29.89,116.36,26298.70,1,1,1,43,0,1396.36,93.3226,0.2138
6,11,0.650,7.15,30.77,363.12,84,18.16,0.00,0,482,19.28,29.89,116.36,26298.70,1,1,1,43,1,1647.71,90.7541,0.2161
7,12,0.650,7.80,33.54,429.34,90,21.47,0.00,0,572,22.88,29.89,116.36,26298.70,1,1,1,43,1,1647.71,76.7559,0.2385
8,13,0.650,8.45,36.56,504.54,96,25.23,0.00,0,668,26.72,29.89,116.36,26298.70,1,1,1,43,2,1944.30,77.0722,0.2628
9,14,0.650,9.10,39.85,641.61,108,32.08,0.00,0,776,31.04,29.89,116.36,26298.70,2,1,1,43,3,2294.27,71.5166,0.2970
10,15,0.650,9.75,43.44,1118.53,162,55.93,434.38,35,938,37.52,29.89,116.36,26298.70,2,1,1,43,4,2707.24,48.4073,0.3452
11,16,0.650,10.40,54.45,966.48,141,48.32,0.00,0,1079,43.16,29.89,116.36,26298.70,2,1,1,43,4,2707.24,56.0229,0.3427
12,17,0.650,11.05,59.35,1112.81,148,55.64,0.00,0,1227,49.08,29.89,116.36,26298.70,2,1,1,43,5,3194.54,57.4140,0.3759
13,18,0.650,11.70,64.69,1277.65,155,63.88,0.00,0,1382,55.28,29.89,116.36,26298.70,3,1,1,43,5,3194.54,50.0064,0.4121
14,19,0.650,12.35,70.51,1463.16,162,73.16,0.00,0,1544,61.76,29.89,116.36,26298.70,3,1,1,43,6,3769.56,51.5264,0.4516
15,20,0.650,13.00,76.86,1644.80,171,82.24,0.00,0,1715,68.60,29.89,116.36,26298.70,3,1,1,43,6,3769.56,45.8361,0.4809
16,21,0.650,13.65,83.78,1985.52,185,99.28,0.00,0,1900,76.00,29.89,116.36,26298.70,4,1,1,43,7,4448.08,44.8053,0.5366
17,22,0.650,14.30,91.32,2273.80,228,113.69,0.00,0,2128,85.12,29.89,116.36,26298.70,4,1,1,43,7,4448.08,39.1247,0.4986
18,23,0.650,14.95,99.54,2577.97,236,128.90,0.00,0,2364,94.56,29.89,116.36,26298.70,5,2,1,43,8,5248.74,40.7199,0.5462
19,24,0.650,15.60,108.49,2918.48,244,145.92,0.00,0,2608,104.32,29.89,116.36,26298.70,5,2,1,43,8,5248.74,35.9689,0.5981
20,25,0.650,16.25,118.26,4322.34,286,216.12,1182.58,40,2894,115.76,29.89,116.36,26298.70,8,2,1,43,8,5248.74,24.2866,0.7557
21,26,0.650,16.90,145.71,4160.16,262,208.01,0.00,0,3156,126.24,29.89,116.36,26298.70,7,2,1,43,9,6193.51,29.7754,0.7939
22,27,0.630,17.00,158.83,4693.40,270,234.67,0.00,0,3426,137.04,29.89,116.36,26298.70,8,3,1,43,9,6193.51,26.3924,0.8691
23,28,0.607,17.00,173.12,5513.99,322,275.70,0.00,0,3748,149.92,29.89,116.36,26298.70,10,3,1,43,9,6193.51,22.4647,0.8562
24,29,0.586,17.00,188.70,6198.96,331,309.95,0.00,0,4079,163.16,29.89,116.36,26298.70,11,3,1,43,10,7308.34,23.5793,0.9364
25,30,0.567,17.00,205.69,6890.56,342,344.53,0.00,0,4421,176.84,29.89,116.36,26298.70,12,3,1,43,10,7308.34,21.2126,1.0074
26,31,0.548,17.00,224.20,7734.91,351,386.75,0.00,0,4772,190.88,29.89,116.36,26298.70,13,4,1,43,10,7308.34,18.8970,1.1018
